                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.987,                 3.8781,                 1.7161,                0.00839,                0.68024,                 0.2364,                0.18883,                 1.4001,                 3.4398,                 1.2367,                 0.0883,                 0.0013,                 0.0013
                      1,                 1.2729,                 3.1269,                  1.139,                0.01316,                0.99352,                0.63037,                0.46401,                0.84684,                  3.038,                0.91159,               0.075433,              0.0024327,              0.0024327
                      2,                 1.0444,                 1.8999,                 1.0283,                0.84037,                0.58317,                0.79429,                0.51771,                 1.0531,                 2.2483,                0.95372,               0.062288,              0.0032882,              0.0032882
                      3,                 1.0168,                 1.3026,                0.99796,                0.89483,                0.70037,                0.91344,                0.57307,                 1.1435,                 1.7629,                 0.9486,               0.048867,              0.0038665,              0.0038665
                      4,                0.97293,                 1.1332,                0.96525,                0.98949,                0.74563,                0.96754,                0.62721,                 1.0764,                 1.7422,                0.93908,               0.035168,              0.0041676,              0.0041676
                      5,                0.96464,                 1.0444,                0.94087,                0.94335,                0.77645,                0.97864,                0.63441,                 1.0808,                 1.5144,                0.94048,               0.021192,              0.0041915,              0.0041915
                      6,                0.93178,                 1.0151,                 0.9395,                0.96408,                0.95952,                0.98726,                0.73754,                0.86637,                 1.3252,                0.89494,              0.0069382,              0.0039382,              0.0039382
                      7,                 0.8776,                0.94611,                0.92927,                0.97211,                0.96438,                0.98926,                0.74455,                0.85489,                 1.0836,                0.89959,                0.00307,                0.00307,                0.00307
                      8,                  0.853,                0.91792,                0.92148,                0.97275,                0.97541,                0.98742,                0.73745,                0.85264,                0.96007,                0.89806,                0.00307,                0.00307,                0.00307
                      9,                0.79704,                0.88438,                0.90733,                0.97382,                0.97884,                0.98881,                0.76439,                0.80849,                0.88978,                0.89974,                0.00208,                0.00208,                0.00208
